"Prioritisation","ID","Date Added","Date of Publishing","Summary","Data Source","Probability of UK alert","Product Category","Raw Product Phrase","Commodity / Product","Country of Origin","Notified by","Hazard Description","Hazard Group","Incident Title","Alert Type","Link","Food, Feed or FCM","Manufacturer","Brand","Organisations","Source Type","Is A Food Article","Eu/non-EU Country of Origin","EU/non-EU Notifying Country"
"HIGH","229281","2020-08-24","2020-08-22","undeclared allergens: happy chef fresh sauces 280g","Australia_FAR","0","soups, broths, sauces and condiments","happy chef fresh sauces 280g","sauce","Australia","Australia","undeclared allergens","allergens","Happy Chef Fresh Sauces 280g has been recalled due to the presence of undeclared allergens (soy and dairy).","recall","https://www.foodstandards.gov.au/industry/foodrecalls/recalls/Pages/Happy-Chef-Fresh-Sauces-280g.aspx","food",NA,NA,"The Happy Chef Fresh Sauces: Peppercorn Sauce, Country Sauce","Official","Yes","non_EU","non_EU"
"HIGH","229282-29282","2020-08-24","2020-08-22","microbiological  salmonella: yellow peaches","Canada_FAR","0","fruits and vegetables","yellow peaches","peach","Canada","Canada","microbiological  salmonella","pathogenic micro-organisms","Consumer Advisory - Fresh imported peaches recalled by Prima Wawona may be unsafe due to Salmonella","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-22/eng/1598036173176/1598036178515","food","prima wawona","harvest sweet, sweet 2 eat, prima, sweet value, wawona","","Official","Yes","non_EU","non_EU"
"HIGH","229283-29282","2020-08-24","2020-08-22","microbiological  salmonella: white peaches","Canada_FAR","0","fruits and vegetables","white peaches","peach","Canada","Canada","microbiological  salmonella","pathogenic micro-organisms","Consumer Advisory - Fresh imported peaches recalled by Prima Wawona may be unsafe due to Salmonella","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-22/eng/1598036173176/1598036178515","food","prima wawona","harvest sweet, sweet 2 eat, prima, sweet value, wawona","","Official","Yes","non_EU","non_EU"
"HIGH","229284-29282","2020-08-24","2020-08-22","microbiological  salmonella: organic yellow peaches","Canada_FAR","0","fruits and vegetables","organic yellow peaches","peach","Canada","Canada","microbiological  salmonella","pathogenic micro-organisms","Consumer Advisory - Fresh imported peaches recalled by Prima Wawona may be unsafe due to Salmonella","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-22/eng/1598036173176/1598036178515","food","prima wawona","sweet 2 eat, sweet o","","Official","Yes","non_EU","non_EU"
"HIGH","229285-29282","2020-08-24","2020-08-22","microbiological  salmonella: organic white peaches","Canada_FAR","0","fruits and vegetables","organic white peaches","peach","Canada","Canada","microbiological  salmonella","pathogenic micro-organisms","Consumer Advisory - Fresh imported peaches recalled by Prima Wawona may be unsafe due to Salmonella","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-22/eng/1598036173176/1598036178515","food","prima wawona","sweet 2 eat","","Official","Yes","non_EU","non_EU"
"HIGH","229286-29282","2020-08-24","2020-08-22","microbiological  salmonella: peaches","Canada_FAR","0","fruits and vegetables","peaches","peach","Canada","Canada","microbiological  salmonella","pathogenic micro-organisms","Consumer Advisory - Fresh imported peaches recalled by Prima Wawona may be unsafe due to Salmonella","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-22/eng/1598036173176/1598036178515","food","prima wawona","wawona","","Official","Yes","non_EU","non_EU"
"HIGH","229287-29282","2020-08-24","2020-08-22","microbiological  salmonella: peaches","Canada_FAR","0","fruits and vegetables","peaches","peach","Canada","Canada","microbiological  salmonella","pathogenic micro-organisms","Consumer Advisory - Fresh imported peaches recalled by Prima Wawona may be unsafe due to Salmonella","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-22/eng/1598036173176/1598036178515","food","prima wawona","wegmans","Wegmans","Official","Yes","non_EU","non_EU"
"HIGH","229288-29282","2020-08-24","2020-08-22","microbiological  salmonella: peaches","Canada_FAR","0","fruits and vegetables","peaches","peach","Canada","Canada","microbiological  salmonella","pathogenic micro-organisms","Consumer Advisory - Fresh imported peaches recalled by Prima Wawona may be unsafe due to Salmonella","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-22/eng/1598036173176/1598036178515","food","prima wawona","extrafresh","","Official","Yes","non_EU","non_EU"
"HIGH","229292","2020-08-24","2020-08-22","salmonella enteritidis outbreak: peaches","FSN_FAR","0","fruits and vegetables","peaches","peach","","","salmonella enteritidis outbreak","pathogenic micro-organisms","More peaches implicated in Salmonella Enteritidis outbreak","outbreak","https://www.foodsafetynews.com/2020/08/more-peaches-implicated-in-salmonella-enteritidis-outbreak/","food",NA,NA,"Wawona Packing Co., Fry's, The Centers for Disease Control and Prevention, Prima Wawona, CDC, The Food and Drug Administration's, Food Safety News, Kroger, Foods Co., Jay-C, Smiths Walmart Wegmans, Ralphs, Wawona Organic, FDA, ALDI Target Kroger, Wawona Packing Company, PLU","Others","Yes","",""
"HIGH","229313","2020-08-24","2020-08-22","salmonella enteritidis infections: peaches","US_FDA_Outbreaks","0","fruits and vegetables","peaches","peach","USA","USA","salmonella enteritidis infections","pathogenic micro-organisms","Outbreak Investigation of Salmonella Enteritidis: Peaches (August 2020)","outbreak","https://www.fda.gov/food/outbreaks-foodborne-illness/outbreak-investigation-salmonella-enteritidis-peaches-august-2020","food",NA,NA,"ALDI, Kroger, Ralphs Food 4, Smiths Walmart Wegmans, FDA, Less Foods Co., Wawona Packing Company LLC, CDC, ALDI Target Kroger, Twitter, Prima Wawona, WI Product Distribution, Target, Wawona, Updates Total, PLU, the Minnesota Department of Health, Jay-C, Wawona Organic, Wawona Packing Company, LLC","Official","Yes","non_EU","non_EU"
